image_id,image_name,is_training,sift_keypoints,truth_is_flying
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,,1
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,,1
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,,1
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,,0
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,,0
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,,1
11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,,1
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,,1
18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,,1
20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,1,,1
21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,1,,0
23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,1,,0
30,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,1,,1
31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,,1
32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,1,,1
35,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,1,,1
36,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,1,,0
37,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,1,,1
40,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,1,,1
41,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,1,,1
42,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,1,,1
43,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,1,,0
46,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,1,,0
49,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,1,,1
51,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,1,,0
53,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,1,,1
25,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,1,,1
56,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,1,,0
58,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,1,,0
60,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,1,,0
62,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,1,,0
66,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,,1
67,002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,1,,1
69,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,,1
72,002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,1,,0
73,002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,1,,1
74,002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,1,,1
77,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1,,0
78,002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,,0
81,002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,1,,0
84,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,,1
